identifier,pols_balance
Yn2qB54ba7DR0A5S1K0k8ZvJ6lAeow,897.448688
eG6JEOgajVz79MVS24x2RXo8yYwM4A,3159.334622
pln8kwomKj3V98PSPR9PezE7Q6DMWd,407.5601084
VD2QPOjzmeyRLY3SV794GXZE57wbnY,3000
8jvnOaZbWJ2705GSZgxg4yAdXRQYwP,3041.508278
yGwbdPR2mnDO9m2SvdxrA35oeBE8gN,223.8835201
6RgWZDmGBOj1L2pSrB95PElQw2paAN,44.41007027
yaMAq4mz5XQNxaqSJ2x1vPRnbD3EOW,200
BqpzWQ1EX37Z9k5SeBLPJyabVDAvM5,1005
6QvbPdjMEgKyxwVSgX9OV381GRzBoq,63.34580946
pRZPJGME2rVw9eESe29BzvXn5N3dab,320
XylVvMQDzk53xEOSjA0roweA7J8E1G,3004.913627
NZGyKMre28boL1gSgk9YWdXJR4j3kE,105.270334
Yn2qB54ba7DR0A5S1D0k8ZvJ6lAeow,0.000771956
eG6JEOgajVz79MVS27x2RXo8yYwM4A,1339.05685
pln8kwomKj3V98PSP79PezE7Q6DMWd,258.18
VD2QPOjzmeyRLY3SVZ94GXZE57wbnY,10.08731384
8jvnOaZbWJ2705GSZbxg4yAdXRQYwP,0.529981089
yGwbdPR2mnDO9m2SvMxrA35oeBE8gN,0.540685218
6RgWZDmGBOj1L2pSro95PElQw2paAN,11.17068811
djB4nO3YklpELyRSaM0XNZz8w57M1q,45.32616278
eVA7ngYQ2WpKxORSEg9y54PaOj1ZGb,48.33317455
qRvg1Be2r6GaLoOSQqLYKdp4nwmlA7,1000
vJGzRrdBgmAlLZWSKB0PkqpnZwj7oD,11.17068811
2PJ548MpQrNX0JjS4K0eDl6GzbaRqn,3000.982887
VqAbzgR82wre9zlSQOL1OaZEkpyW53,10.000646
4PX5n3wv6qlrxjYSe69Zp2M7VWygda,2746.271242
V4EYmXOMvlzW07qSmdxdyZp7JD6Ne8,612.505802
27vwVn1Q64YO0BmSalL3BRAjl8maMD,106.0556389
vG4oe5E2qnAO9VQSod0XrYplam6V3k,3199.465237
wq28ZBQl1AnWx64Smm0M4pozDegOJb,64.52847391
rakEJwN1dWeYLRXSwM928Dy3zBvP7K,340.9388096
wogb2YrQ6pJAxlmS8DLqN8B3eavOml,3000
4m7DnNKabZAO9vBSVr98Myz6J53vWg,3000.009476
KabnJ8mVyM3G0XNSyGxw5ZR1eDNW7Y,100.8
XJ4bYGKnwlev0K7S4J0MkVz1ypR3Ea,80.25860428
q2W6DpjGJOPvxdeSZ4L4mQoyVZzgXK,3057.3794
3kQyVE67NM4n9bPSmjLeGOW1qX2gYd,5059.032019
jMGElwpKZqWk9QvSV1xy54aoBgbNY2,11.17068811
wQRlYJBjvXAK9DyS3Dx7VZdmrbqn35,3000.006924
ed3a4PpOMYJm0N6S7O0D2X5jK8r7kZ,35
Mk3zZjrl5O7Dx3nS5q9NnoE1Ye6VbW,2958.153151
6n31vZykGbrVLWDSa10ojmzlWO42pJ,0.000000086
WJwBXD1av6Ed0gASeWxANnY2bmOrz7,257.4
D5WzXM3nZAgyxpoSjo9er1OGQ2bVd7,11.17068811
2RyXqevdko4N9nySor0pP5JA6wVnaj,30069.47256
MElVo5r3QYAdxrJSw1xZNyJDBvO2mj,142.1506664
JYqVAE17ReWB0GZSqwLMNrKOlj6ZyQ,268.9913007
KbnMvkYNQ1Elx4rS8M0q6y2mDrJGVW,344.4647014
rjMv8OQ3kny40qZSj49Em2AepGVYbD,0.000000001
4lnQGwmg5q860PlSJO0BvjEebzoRZr,151.0499101
yaMAq4mz5XQNxaqS62x1vPRnbD3EOW,1020
BqpzWQ1EX37Z9k5SKBLPJyabVDAvM5,213.0621597
6QvbPdjMEgKyxwVSRX9OV381GRzBoq,0.000000007
pRZPJGME2rVw9eESj29BzvXn5N3dab,2508.258173
XylVvMQDzk53xEOSvA0roweA7J8E1G,4140.045888
NZGyKMre28boL1gS8k9YWdXJR4j3kE,757.2204055
Yn2qB54ba7DR0A5SOD0k8ZvJ6lAeow,2500.680449
eG6JEOgajVz79MVS57x2RXo8yYwM4A,639.933174
pln8kwomKj3V98PSz79PezE7Q6DMWd,22.34137622
VD2QPOjzmeyRLY3SlZ94GXZE57wbnY,1743.377231
8jvnOaZbWJ2705GSvbxg4yAdXRQYwP,380.3535651
yGwbdPR2mnDO9m2S6MxrA35oeBE8gN,31.37912174
6RgWZDmGBOj1L2pSAo95PElQw2paAN,2170.335086
djB4nO3YklpELyRSKM0XNZz8w57M1q,0.564583611
eVA7ngYQ2WpKxORSKg9y54PaOj1ZGb,132.9305136
qRvg1Be2r6GaLoOS4qLYKdp4nwmlA7,328.4288583
vJGzRrdBgmAlLZWS4B0PkqpnZwj7oD,250
2PJ548MpQrNX0JjSBK0eDl6GzbaRqn,30004.36578
VqAbzgR82wre9zlSdOL1OaZEkpyW53,420
4PX5n3wv6qlrxjYSA69Zp2M7VWygda,374.6254691
V4EYmXOMvlzW07qS2dxdyZp7JD6Ne8,73.80698093
27vwVn1Q64YO0BmSYlL3BRAjl8maMD,3000.3
vG4oe5E2qnAO9VQSXd0XrYplam6V3k,253.2760407
wq28ZBQl1AnWx64SAm0M4pozDegOJb,251
rakEJwN1dWeYLRXSMM928Dy3zBvP7K,0.000009891
wogb2YrQ6pJAxlmS1DLqN8B3eavOml,140.9807912
4m7DnNKabZAO9vBSAr98Myz6J53vWg,75.0278
KabnJ8mVyM3G0XNS4Gxw5ZR1eDNW7Y,3052.190659
XJ4bYGKnwlev0K7SyJ0MkVz1ypR3Ea,1008.114815
q2W6DpjGJOPvxdeSB4L4mQoyVZzgXK,0.003047842
3kQyVE67NM4n9bPSBjLeGOW1qX2gYd,185.8260519
jMGElwpKZqWk9QvSd1xy54aoBgbNY2,3926.987821
wQRlYJBjvXAK9DyS7Dx7VZdmrbqn35,10
ed3a4PpOMYJm0N6SGO0D2X5jK8r7kZ,20
Mk3zZjrl5O7Dx3nS7q9NnoE1Ye6VbW,204.5041015
6n31vZykGbrVLWDS210ojmzlWO42pJ,41.33051754
WJwBXD1av6Ed0gASPWxANnY2bmOrz7,161.5291806
D5WzXM3nZAgyxpoSVo9er1OGQ2bVd7,251.5440712
2RyXqevdko4N9nySZr0pP5JA6wVnaj,2000
MElVo5r3QYAdxrJSn1xZNyJDBvO2mj,434.4221105
JYqVAE17ReWB0GZSYwLMNrKOlj6ZyQ,678.8603898
KbnMvkYNQ1Elx4rSYM0q6y2mDrJGVW,500
rjMv8OQ3kny40qZSY49Em2AepGVYbD,678.0790227
4lnQGwmg5q860PlSeO0BvjEebzoRZr,4000
yaMAq4mz5XQNxaqSr2x1vPRnbD3EOW,3001
BqpzWQ1EX37Z9k5SRBLPJyabVDAvM5,3.229060226
6QvbPdjMEgKyxwVSWX9OV381GRzBoq,10.74233904
pRZPJGME2rVw9eESO29BzvXn5N3dab,144.7979868
XylVvMQDzk53xEOSQA0roweA7J8E1G,246.2032078
NZGyKMre28boL1gSAk9YWdXJR4j3kE,60.8607256
Yn2qB54ba7DR0A5SRD0k8ZvJ6lAeow,150
eG6JEOgajVz79MVSM7x2RXo8yYwM4A,326.6583288
pln8kwomKj3V98PSY79PezE7Q6DMWd,1313.205536
VD2QPOjzmeyRLY3SYZ94GXZE57wbnY,102.3401396
8jvnOaZbWJ2705GS4bxg4yAdXRQYwP,3000.649081
yGwbdPR2mnDO9m2S4MxrA35oeBE8gN,15
6RgWZDmGBOj1L2pSNo95PElQw2paAN,3000
yaMAq4mz5XQNxaqSrGx1vPRnbD3EOW,206.8908849
BqpzWQ1EX37Z9k5SRZLPJyabVDAvM5,757.322614
6QvbPdjMEgKyxwVSWq9OV381GRzBoq,19328.993
pRZPJGME2rVw9eESOq9BzvXn5N3dab,27.60209977
XylVvMQDzk53xEOSQP0roweA7J8E1G,11.17068811
NZGyKMre28boL1gS1v9YWdXJR4j3kE,146.3467017
Yn2qB54ba7DR0A5S4a0k8ZvJ6lAeow,753.541856
eG6JEOgajVz79MVSEOx2RXo8yYwM4A,11.17068811
pln8kwomKj3V98PSWl9PezE7Q6DMWd,184.8520865
VD2QPOjzmeyRLY3SXV94GXZE57wbnY,66.93259281
8jvnOaZbWJ2705GSavxg4yAdXRQYwP,0.000079149
yGwbdPR2mnDO9m2Sm4xrA35oeBE8gN,3061.0007
6RgWZDmGBOj1L2pSee95PElQw2paAN,206.6494965
djB4nO3YklpELyRSWw0XNZz8w57M1q,3881.088294
eVA7ngYQ2WpKxORSQ49y54PaOj1ZGb,150
qRvg1Be2r6GaLoOSEoLYKdp4nwmlA7,532.1227584
